Sr_No,Customer_Name,Overview,Geographical_Presence,Product_Offering,Industry_Vertical,Cloud_Platforms,License_Ecosystem,Optimization_Type,Pain_Points,Trigger_Event,Key_Stakeholders,Cloud_Optimization_Potential,ELO_Optimization_Potential,Total_Optimization_Potential,Decision_Maker,Phone,Fax,Email,Website,Annual_IT_Spend_M,Current_Cloud_Spend_M,Current_License_Spend_M,Potential_Cloud_Savings_M,Potential_License_Savings_M,Total_Potential_Savings_M,Number_of_Employees,IT_Team_Size,Number_of_VMs,Physical_Servers,Number_of_Databases,Number_of_Applications,Microsoft_Licenses,SAP_Licenses,Oracle_Licenses,Azure_VMs,Azure_Storage_TB,Azure_Monthly_Spend_K,AWS_EC2_Instances,AWS_S3_Storage_TB,AWS_Monthly_Spend_K,GCP_VMs,GCP_Storage_TB,GCP_Monthly_Spend_K,Implementation_Cost_K,Monthly_Savings_K,ROI_Payback_Months,Last_Contact_Days_Ago,Engagement_Score
11,Enterprise Customer 11,Investment banking and financial services company,"HQ: New York, NY; operates across Northeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Enterprise operations,Google Cloud Platform,"Microsoft, SAP, IBM Mainframe",Cloud FinOps,Multi-cloud cost optimization and license compliance across distributed systems,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",19,0,19,VP Infrastructure,+1-270-230-1170,+1 (313) 971-6325,contact@goldmansachs.com,www.goldmansachs.com,143,42.37,38.75,8.05,0.0,8.05,72725,2197,2763,619,25,1158,30042,2905,4004,0,0,0.0,0,0,0.0,0,0,0.0,234,670.8,0.3,105,8
12,Enterprise Customer 12,Hospitality company operating hotels and resorts worldwide,"HQ: Bethesda, MD; operates across Mid-Atlantic U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Both (Cloud FinOps + ELO),Multi-cloud cost optimization and license compliance across distributed systems,SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",15,12,27,CTO,+1-277-243-1187,+1 (513) 816-7594,contact@marriottinternationa.com,www.marriottinternationa.com,189,56.73,56.47,8.51,6.78,15.29,26087,989,4039,380,148,152,7992,1975,4762,0,0,0.0,1402,60,4727.5,0,0,0.0,245,1274.2,0.2,173,5
13,Enterprise Customer 13,"Aerospace, defense, security, and advanced technologies company","HQ: Bethesda, MD; operates across Mid-Atlantic U.S.","Aerospace systems, defense programs, manufacturing, supply chain",Enterprise operations,Google Cloud Platform,"AWS Services, Microsoft 365, Oracle",Both (Cloud FinOps + ELO),Hybrid infrastructure creating licensing grey areas between on-prem perpetual and cloud subscription models,Oracle license renewal cycle; exploring license buyback and optimization strategies,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",25,15,40,CTO,+1-284-256-1204,+1 (732) 512-5844,contact@lockheedmartin.com,www.lockheedmartin.com,333,62.67,94.6,15.67,14.19,29.86,104390,4208,1925,680,174,931,76819,27419,63,0,0,0.0,0,0,0.0,0,0,0.0,127,2488.3,0.1,74,4
14,Enterprise Customer 14,"Major independent Coca-Cola bottler handling beverage production, sales, marketing & distribution","HQ: Birmingham, AL; operates across Southeast U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Enterprise operations,Microsoft Azure,"Microsoft 365, SAP ERP, Oracle Database",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",26,14,40,VP Cloud Platforms,+1-291-269-1221,+1 (205) 130-2535,contact@coca-colabottlingcom.com,www.coca-colabottlingcom.com,161,35.39,51.59,9.2,7.22,16.42,57124,2369,4964,479,132,1019,43618,9215,156,1754,462,2949.2,0,0,0.0,0,0,0.0,90,1368.3,0.1,179,7
15,Enterprise Customer 15,"Technology and manufacturing company serving aerospace, building, and materials","HQ: Charlotte, NC; operates across Southeast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Cloud FinOps,"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",24,0,24,Chief Technology Officer,+1-298-282-1238,+1 (914) 491-1634,contact@honeywellinternation.com,www.honeywellinternation.com,489,142.4,117.32,34.18,0.0,34.18,125665,3831,2364,278,32,1451,30313,26213,10806,0,0,0.0,770,492,11866.7,0,0,0.0,67,2848.3,0.0,72,6
16,Enterprise Customer 16,Automotive manufacturer with global manufacturing and distribution,"HQ: Dearborn, MI; operates across Midwest U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",18,17,35,VP Cloud Platforms,+1-305-295-1255,+1 (479) 578-1887,contact@fordmotorcompany.com,www.fordmotorcompany.com,394,136.34,129.72,24.54,22.05,46.59,20889,670,3279,161,147,492,8116,4493,3725,0,0,0.0,487,266,11361.7,0,0,0.0,96,3882.5,0.0,72,8
17,Enterprise Customer 17,"Agricultural, construction, and forestry machinery manufacturer","HQ: Moline, IL; operates across Midwest U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Enterprise operations,Microsoft Azure,"AWS Services, Microsoft 365, Oracle",Enterprise License Optimization (ELO),Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,Multi-cloud expansion for disaster recovery and workload optimization,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",0,12,12,CTO,+1-312-308-1272,+1 (732) 846-6139,contact@deere&company.com,www.deere&company.com,273,90.6,82.52,0.0,9.9,9.9,105976,4979,2057,310,42,993,5221,17136,17693,1606,418,7550.0,0,0,0.0,0,0,0.0,290,825.0,0.4,172,4
18,Enterprise Customer 18,Athletic footwear and apparel company with global manufacturing,"HQ: Beaverton, OR; operates across Pacific Northwest U.S.","Retail operations, e-commerce, supply chain, point-of-sale systems, analytics",Enterprise operations,Multi-cloud (AWS + GCP),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Both (Cloud FinOps + ELO),Hybrid infrastructure creating licensing grey areas between on-prem perpetual and cloud subscription models,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",26,14,40,CIO,+1-319-321-1289,+1 (732) 170-9289,contact@nikeinc.com,www.nikeinc.com,381,96.15,140.94,25.0,19.73,44.73,133503,3092,3467,700,255,413,62080,11643,24095,0,0,0.0,1268,383,8012.5,376,277,8012.5,169,3727.5,0.0,112,10
19,Enterprise Customer 19,"Aerospace, defense, security, and advanced technologies company","HQ: Bethesda, MD; operates across Mid-Atlantic U.S.","Aerospace systems, defense programs, manufacturing, supply chain",Enterprise operations,Google Cloud Platform,"AWS Services, Microsoft 365, Oracle",Both (Cloud FinOps + ELO),Hybrid infrastructure creating licensing grey areas between on-prem perpetual and cloud subscription models,Oracle license renewal cycle; exploring license buyback and optimization strategies,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",25,15,40,CTO,+1-326-334-1306,+1 (732) 512-5844,contact@lockheedmartin.com,www.lockheedmartin.com,333,62.67,94.6,15.67,14.19,29.86,104390,4208,1925,680,174,931,76819,27419,63,0,0,0.0,0,0,0.0,0,0,0.0,127,2488.3,0.1,74,4
20,Enterprise Customer 20,Telecommunications company providing wireless and wireline services,"HQ: New York, NY; operates across Northeast U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Cloud FinOps,Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",22,0,22,VP Digital,+1-333-347-1323,+1 (479) 561-8699,contact@verizoncommunication.com,www.verizoncommunication.com,199,31.8,51.27,7.0,0.0,7.0,79112,3250,4219,122,139,641,30928,14030,1930,0,0,0.0,1315,165,2650.0,0,0,0.0,215,583.3,0.4,39,5
21,Enterprise Customer 21,"Technology and manufacturing company serving aerospace, building, and materials","HQ: Charlotte, NC; operates across Southeast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Cloud FinOps,"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",24,0,24,Chief Technology Officer,+1-340-360-1340,+1 (914) 491-1634,contact@honeywellinternation.com,www.honeywellinternation.com,489,142.4,117.32,34.18,0.0,34.18,125665,3831,2364,278,32,1451,30313,26213,10806,0,0,0.0,770,492,11866.7,0,0,0.0,67,2848.3,0.0,72,6
22,Enterprise Customer 22,"Major independent Coca-Cola bottler handling beverage production, sales, marketing & distribution","HQ: Birmingham, AL; operates across Southeast U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Enterprise operations,Microsoft Azure,"Microsoft 365, SAP ERP, Oracle Database",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",26,14,40,VP Cloud Platforms,+1-347-373-1357,+1 (205) 130-2535,contact@coca-colabottlingcom.com,www.coca-colabottlingcom.com,161,35.39,51.59,9.2,7.22,16.42,57124,2369,4964,479,132,1019,43618,9215,156,1754,462,2949.2,0,0,0.0,0,0,0.0,90,1368.3,0.1,179,7
23,Enterprise Customer 23,Major U.S. airline with global operations,"HQ: Fort Worth, TX; operates across South Central U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,AWS (Amazon Web Services),"AWS Services, Microsoft 365, Oracle",Both (Cloud FinOps + ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CIO, VP Enterprise Apps, Head of Manufacturing IT/OT, SAM Lead",27,19,46,VP Infrastructure,+1-354-386-1374,+1 (479) 973-7865,contact@americanairlinesgrou.com,www.americanairlinesgrou.com,325,121.63,100.5,32.84,19.09,51.93,62812,2176,2735,496,268,159,30484,11114,11008,0,0,0.0,1590,458,10135.8,0,0,0.0,153,4327.5,0.0,43,8
24,Enterprise Customer 24,Multinational retail corporation operating hypermarkets and grocery stores,"HQ: Bentonville, AR; operates across South Central U.S.","Retail operations, e-commerce, supply chain, point-of-sale systems, analytics",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Enterprise License Optimization (ELO),Managing legacy Oracle licenses while migrating to cloud; compliance and cost visibility gaps,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",0,18,18,VP Infrastructure,+1-361-399-1391,+1 (914) 446-1344,contact@walmartinc.com,www.walmartinc.com,351,110.98,111.51,0.0,20.07,20.07,6885,152,982,284,54,164,6760,776,195,0,0,0.0,1252,171,9248.3,0,0,0.0,121,1672.5,0.1,172,8
25,Enterprise Customer 25,Healthcare company with retail pharmacy and healthcare services,"HQ: Woonsocket, RI; operates across Northeast U.S.","Healthcare services, pharmaceutical R&D, medical devices, patient systems",Enterprise operations,Microsoft Azure,"Microsoft 365, SAP HANA, Power Platform",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",27,16,43,VP Infrastructure,+1-368-412-1408,+1 (914) 567-3184,contact@cvshealth.com,www.cvshealth.com,460,133.12,140.86,35.94,22.54,58.48,88177,4276,4125,677,278,973,76810,14711,5265,1723,491,11093.3,0,0,0.0,0,0,0.0,171,4873.3,0.0,116,5
26,Enterprise Customer 26,Investment banking and financial services company,"HQ: New York, NY; operates across Northeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Enterprise operations,Google Cloud Platform,"Microsoft, SAP, IBM Mainframe",Cloud FinOps,Multi-cloud cost optimization and license compliance across distributed systems,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",19,0,19,VP Infrastructure,+1-375-425-1425,+1 (313) 971-6325,contact@goldmansachs.com,www.goldmansachs.com,143,42.37,38.75,8.05,0.0,8.05,72725,2197,2763,619,25,1158,30042,2905,4004,0,0,0.0,0,0,0.0,0,0,0.0,234,670.8,0.3,105,8
27,Enterprise Customer 27,Coffeehouse chain with global presence and digital transformation initiatives,"HQ: Seattle, WA; operates across Pacific Northwest U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Enterprise operations,Multi-cloud (Azure + AWS),"Microsoft, SAP, IBM Mainframe",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Recent Oracle audit notice triggering compliance review and optimization initiative,"CIO, VP Enterprise Apps, Head of Manufacturing IT/OT, SAM Lead",22,17,39,VP Digital,+1-382-438-1442,+1 (732) 195-4848,contact@starbuckscorporation.com,www.starbuckscorporation.com,394,95.79,142.36,21.07,24.2,45.27,43627,904,2505,536,57,1032,32160,10418,3235,1671,406,7982.5,986,303,7982.5,0,0,0.0,152,3772.5,0.0,63,3
28,Enterprise Customer 28,Semiconductor chip manufacturer with global operations,"HQ: Santa Clara, CA; operates across West Coast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Enterprise operations,Microsoft Azure,"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",16,11,27,CIO,+1-389-451-1459,+1 (914) 354-2940,contact@intelcorporation.com,www.intelcorporation.com,335,127.08,107.62,20.33,11.84,32.17,64162,2776,3616,511,246,708,61371,14151,5053,1364,367,10590.0,0,0,0.0,0,0,0.0,65,2680.8,0.0,157,2
29,Enterprise Customer 29,Semiconductor chip manufacturer with global operations,"HQ: Santa Clara, CA; operates across West Coast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Enterprise operations,Microsoft Azure,"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",16,11,27,CIO,+1-396-464-1476,+1 (914) 354-2940,contact@intelcorporation.com,www.intelcorporation.com,335,127.08,107.62,20.33,11.84,32.17,64162,2776,3616,511,246,708,61371,14151,5053,1364,367,10590.0,0,0,0.0,0,0,0.0,65,2680.8,0.0,157,2
30,Enterprise Customer 30,Telecommunications company providing wireless and wireline services,"HQ: New York, NY; operates across Northeast U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Cloud FinOps,Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",22,0,22,VP Digital,+1-403-477-1493,+1 (479) 561-8699,contact@verizoncommunication.com,www.verizoncommunication.com,199,31.8,51.27,7.0,0.0,7.0,79112,3250,4219,122,139,641,30928,14030,1930,0,0,0.0,1315,165,2650.0,0,0,0.0,215,583.3,0.4,39,5
31,Enterprise Customer 31,Investment banking and financial services company,"HQ: New York, NY; operates across Northeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Enterprise operations,Google Cloud Platform,"Microsoft, SAP, IBM Mainframe",Cloud FinOps,Multi-cloud cost optimization and license compliance across distributed systems,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",19,0,19,VP Infrastructure,+1-410-490-1510,+1 (313) 971-6325,contact@goldmansachs.com,www.goldmansachs.com,143,42.37,38.75,8.05,0.0,8.05,72725,2197,2763,619,25,1158,30042,2905,4004,0,0,0.0,0,0,0.0,0,0,0.0,234,670.8,0.3,105,8
32,Enterprise Customer 32,"Manufacturer of construction and mining equipment, engines, and turbines","HQ: Peoria, IL; operates across Midwest U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Enterprise operations,Microsoft Azure,"AWS Services, Microsoft 365, Oracle",Enterprise License Optimization (ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Oracle license renewal cycle; exploring license buyback and optimization strategies,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",0,16,16,CTO,+1-417-503-1527,+1 (313) 423-2188,contact@caterpillarinc.com,www.caterpillarinc.com,54,15.52,21.58,0.0,3.45,3.45,31209,692,2246,568,155,371,16436,1227,2051,956,195,1293.3,0,0,0.0,0,0,0.0,90,287.5,0.3,113,9
33,Enterprise Customer 33,"Consumer goods corporation with global brands in beauty, healthcare, and household products","HQ: Cincinnati, OH; operates across Midwest U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,AWS Enterprise Agreement renewal; negotiating better rates based on commitment,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",24,11,35,VP Infrastructure,+1-424-516-1544,+1 (914) 798-9797,contact@procter&gamble.com,www.procter&gamble.com,434,99.84,142.44,23.96,15.67,39.63,34242,986,1795,514,21,639,21403,3027,4208,0,0,0.0,417,495,8320.0,0,0,0.0,210,3302.5,0.1,77,9
